Date;Stock;Open;High;Low;Close;Resist;Support;GSLine;Trend
2020/07/14;AALI;8550,00;8600,00;8400,00;8575,00;8750,00;8200,00;D;Strong Uptrend
2020/07/14;ABBA;50,00;50,00;50,00;50,00;52,00;50,00;U;Strong Downtrend
2020/07/14;ABDA;6400,00;6400,00;6400,00;6400,00;6400,00;6250,00;U;Strong Uptrend
2020/07/14;ABMM;1320,00;1320,00;1320,00;1320,00;1405,00;1400,00;D;Strong Downtrend
2020/07/14;ACES;1640,00;1650,00;1610,00;1650,00;1530,00;1450,00;U;Strong Uptrend
2020/07/14;ACST;266,00;272,00;264,00;266,00;274,00;264,00;U;Strong Uptrend
2020/07/14;ADES;860,00;865,00;850,00;860,00;870,00;840,00;U;Strong Uptrend
2020/07/14;ADHI;640,00;645,00;630,00;635,00;655,00;625,00;D;Strong Uptrend
2020/07/14;ADMF;7450,00;7475,00;7350,00;7450,00;7250,00;7000,00;U;Strong Uptrend
2020/07/14;ADMG;106,00;108,00;102,00;102,00;108,00;100,00;D;Uptrend
2020/07/14;ADRO;1145,00;1170,00;1125,00;1155,00;1050,00;1050,00;U;Strong Uptrend
2020/07/14;AGAR;515,00;515,00;498,00;498,00;550,00;480,00;D;Strong Uptrend
2020/07/14;AGII;565,00;580,00;560,00;575,00;595,00;525,00;D;Strong Uptrend
2020/07/14;AGRO;154,00;206,00;152,00;206,00;167,00;121,00;U;Strong Uptrend
2020/07/14;AGRS;98,00;104,00;93,00;98,00;104,00;96,00;U;Strong Downtrend
2020/07/14;AHAP;50,00;50,00;50,00;50,00;51,00;50,00;U;Strong Downtrend
2020/07/14;AIMS;180,00;180,00;180,00;180,00;180,00;180,00;N;Strong Uptrend
2020/07/14;AISA;168,00;168,00;168,00;168,00;168,00;168,00;N;Strong Uptrend
2020/07/14;AKKU;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;AKPI;296,00;296,00;296,00;296,00;296,00;296,00;U;Strong Downtrend
2020/07/14;AKRA;2460,00;2490,00;2420,00;2450,00;2530,00;2440,00;D;Uptrend
2020/07/14;AKSI;294,00;300,00;284,00;290,00;362,00;270,00;D;Uptrend
2020/07/14;ALDO;378,00;378,00;378,00;378,00;400,00;374,00;D;Strong Downtrend
2020/07/14;ALKA;428,00;428,00;428,00;428,00;430,00;428,00;D;Strong Uptrend
2020/07/14;ALMI;216,00;216,00;216,00;216,00;226,00;200,00;U;Strong Downtrend
2020/07/14;ALTO;350,00;350,00;350,00;350,00;380,00;386,00;D;Strong Downtrend
2020/07/14;AMAG;270,00;276,00;270,00;276,00;294,00;264,00;U;Neutral
2020/07/14;AMAN;196,00;196,00;195,00;195,00;196,00;195,00;D;Strong Downtrend
2020/07/14;AMAR;412,00;424,00;410,00;412,00;580,00;292,00;U;Strong Uptrend
2020/07/14;AMFG;2680,00;2700,00;2680,00;2690,00;3300,00;2480,00;D;Downtrend
2020/07/14;AMIN;246,00;320,00;240,00;256,00;300,00;264,00;U;Strong Downtrend
2020/07/14;AMOR;2150,00;2160,00;2050,00;2160,00;2000,00;1975,00;U;Uptrend
2020/07/14;AMRT;780,00;785,00;770,00;775,00;805,00;785,00;U;Strong Downtrend
2020/07/14;ANDI;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;ANJT;484,00;500,00;484,00;496,00;565,00;496,00;D;Downtrend
2020/07/14;ANTM;670,00;680,00;660,00;660,00;615,00;600,00;U;Strong Uptrend
2020/07/14;APEX;182,00;182,00;175,00;180,00;183,00;168,00;D;Uptrend
2020/07/14;APIC;815,00;825,00;800,00;825,00;850,00;810,00;U;Strong Downtrend
2020/07/14;APII;208,00;248,00;208,00;246,00;252,00;196,00;U;Strong Uptrend
2020/07/14;APLI;121,00;124,00;118,00;124,00;106,00;94,00;U;Uptrend
2020/07/14;APLN;113,00;114,00;112,00;113,00;116,00;111,00;D;Uptrend
2020/04/03;APOL;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;ARGO;1195,00;1195,00;1195,00;1195,00;810,00;1025,00;U;Strong Uptrend
2020/07/14;ARII;486,00;530,00;486,00;520,00;590,00;505,00;U;Strong Downtrend
2020/07/14;ARKA;310,00;310,00;288,00;288,00;432,00;346,00;U;Strong Downtrend
2020/07/14;ARMY;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;ARNA;370,00;370,00;366,00;368,00;386,00;368,00;D;Strong Downtrend
2020/07/14;ARTA;346,00;346,00;346,00;346,00;358,00;302,00;U;Strong Downtrend
2020/07/14;ARTI;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;ARTO;2900,00;2900,00;2730,00;2790,00;3080,00;2700,00;U;Strong Uptrend
2020/07/14;ASBI;276,00;276,00;262,00;266,00;280,00;276,00;D;Downtrend
2020/07/14;ASDM;930,00;930,00;930,00;930,00;975,00;920,00;U;Strong Downtrend
2020/07/14;ASGR;670,00;670,00;660,00;665,00;680,00;665,00;U;Strong Downtrend
2020/07/14;ASII;4900,00;4950,00;4880,00;4950,00;5000,00;4770,00;D;Strong Uptrend
2020/07/14;ASJT;120,00;120,00;115,00;115,00;139,00;122,00;D;Downtrend
2020/07/14;ASMI;1215,00;1220,00;1180,00;1180,00;1230,00;1205,00;D;Strong Uptrend
2020/07/14;ASPI;308,00;312,00;304,00;308,00;380,00;302,00;D;Strong Downtrend
2020/07/14;ASRI;132,00;132,00;129,00;129,00;136,00;126,00;D;Uptrend
2020/07/14;ASRM;1960,00;2000,00;1960,00;2000,00;2000,00;1990,00;U;Strong Uptrend
2020/07/14;ASSA;438,00;490,00;438,00;480,00;458,00;398,00;U;Strong Uptrend
2020/07/14;ATIC;740,00;740,00;740,00;740,00;880,00;870,00;D;Downtrend
2019/09/27;ATPK;194,00;194,00;194,00;194,00;194,00;194,00;U;Strong Uptrend
2020/07/14;AUTO;900,00;915,00;900,00;915,00;925,00;880,00;U;Strong Uptrend
2020/07/14;AYLS;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;BABP;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;BACA;356,00;380,00;356,00;374,00;382,00;400,00;D;Strong Downtrend
2020/07/14;BAJA;59,00;61,00;59,00;59,00;65,00;58,00;D;Strong Uptrend
2020/07/14;BALI;830,00;830,00;830,00;830,00;890,00;835,00;D;Downtrend
2020/07/14;BAPA;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Downtrend
2020/07/14;BAPI;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;BATA;550,00;550,00;550,00;550,00;560,00;530,00;U;Strong Downtrend
2020/07/14;BAYU;1095,00;1095,00;1095,00;1095,00;1175,00;960,00;U;Strong Uptrend
2020/07/14;BBCA;30875,00;31000,00;30550,00;31000,00;31325,00;27925,00;U;Strong Uptrend
2020/07/14;BBHI;124,00;149,00;124,00;139,00;195,00;75,00;U;Strong Uptrend
2020/07/14;BBKP;183,00;184,00;180,00;181,00;190,00;182,00;D;Uptrend
